Bank Code,Bank Name,SWIFT Code
10001000,Nepal Rastra Bank,NRBLNPKA
11001000,Nepal Bank Ltd,NEBLNPKA
11002000,Rastriya Banijya Bank,RBBANPKA
11003000,Nabil Bank Limited,NARBNPKA
11004000,Nepal Investment Mega Bank,NIBLNPKA
11005000,Standard Chartered Bank Nepal Limited,SCBLNPKA
11006000,Himalayan Bank Limited,HIMANPKA
11007000,Nepal SBI Bank Limited,NSBINPKA
11008000,Nepal Bangladesh Bank Limited,NBBLNPKA
11009000,Everest Bank Limited,EVBLNPKA
11010000,Bank of Kathmandu Limited,BOKLNPKA
11011000,Nepal Credit and Commerce Bank Limited,NCCBNPKA
11012000,Nepal Industrial and Commercial Bank,NICENPKA
11012003,NIC ASIA BANK LTD,NICENPKA
11013000,Lumbini Bank Limited,LUBLNPKA
11014000,Machhapuchhre Bank Limited,MBLNNPKA
11014051,"Machhapuchhre Bank L, Parasi Branch",MBLNNPKA
11015000,Kumari Bank Limited,KMBLNPKA
11016000,Laxmi Sunrise Bank Limited,LXBLNPKA
11017000,Siddhartha Bank Limited,SIDDNPKA
11018000,Agriculture Development Bank,ADBLNPKA
11019000,Global IME Bank Limited,GLBBNPKA
11020000,Citizens Bank International,CTZNNPKA
11021000,Prime Commercial Bank Ltd.,PCBLNPKA
11021001,"Prime Commercial Bank, KamalPokhari",PCBLNPKA
11022000,Bank of Asia Nepal Ltd.,BAONNPKA
11023000,Sunrise Bank Ltd.,SRBLNPKA
11024000,DCBL Bank Ltd.,DCBLNPKA
11025000,NMB Bank Ltd,NMBBNPKA
11026000,Kist Bank Ltd.,Not Available
11026001,PRABHU BANK LTD,PRVUNPKA
11027000,Janta Bank Nepal Ltd,Not Available
11028000,Mega Bank Nepal Ltd,MBNLNPKA
11029000,Commerz and Trust Bank Nepal Ltd.,Not Available
11030001,Civil Bank Limited,CIVLNPKA
11031000,Century Commercial Bank,CCBNNPKA
11032000,Sanima Bank Ltd.,SANINPKA
11064006,Prabhu Bittiya Sanstha Ltd.,Not Available
11064009,Prabhu Bittiya Sanstha Ltd,Not Available
12001000,Agricultural Development Bank,ADBLNPKA
12002000,Nepal Industrial Development Corporation,Not Available
12003000,Nepal Development Bank Ltd.,Not Available
12004000,Udhayam Development Bank Ltd.,Not Available
12005000,Malika Development Bank Ltd.,Not Available
12006000,Siddhartha Bank Ltd.,SIDDNPKA
12007000,Development Credit Bank Ltd.,Not Available
12008000,United Development Bank Ltd.,Not Available
12009000,Mahalaxmi Bikas Bank Ltd,Not Available
12010000,Narayani Industrial Development Bank,Not Available
12011000,Paschimanchal Bikash Bank Ltd.,Not Available
12012000,Sahayogi Bikash Bank,Not Available
12013000,Pashupati Bikash Bank,Not Available
12014000,Karnali Bikash Bank,Not Available
12015000,Triveni Bikash Bank,Not Available
12016000,Annapurna Bikash Bank,Not Available
