Code,Name
BDP01,Bhadrapur Customs Office
BDP02,"Bhadrapur Customs Office, Gate"
BHW01,Bhairahawa Customs Office
BHW02,"Bhairahawa Customs Office, Gate"
BHW04,"Lumbini Sub-Customs Office, Kalidah"
BRJ01,Birgunj Customs Office
BRJ02,"Birgunj Customs Office, GateSection"
BRJ03,"Birgunj Customs Office, ICP"
BRJ04,"Birgunj Customs Office, ICP - Gate"
BRJ05,"Thori Sub Customs Office, Thori"
BRJ06,"Birgunj Customs Office, ICD"
BRT01,Biratnagar Customs Office
BRT02,"Biratnagar Customs Office, Gate"
BRT03,"Biratnagar Customs Office, ICP"
CBR01,Chobhar Dryport Customs Office
DOC01,Department of Customs
DPC01,Dry Port Customs
GAU01,Gaur Customs Office
GAU02,"Gaur Customs Office, Gate"
GIA01,GautamBuddha Airport Customs Office
GIA02,GIA Customs Passenger
JAL01,Jaleshwar Customs Office
JAL02,"Jaleshwar Customs Office, Gate"
JNK01,Janakpur Customs Office
JNK02,Lagma Jatahi Subcustoms office
JNK03,"Jatahi Sub Customs Office,Gate"
KAI01,Kailali Customs Office
KAI02,"Kailali Customs Office, Gate"
KAN01,Kanchanpur Customs Office
KAN02,Kanchanpur Customs Office Gate
KBS02,"Koilabas Customs Office, Gate"
KRI01,Krishna Nagar Customs Office
KRI02,"KrishnaNagar Customs Office,Gate"
KRI05,Suthauli Sub-Customs Office
MCH01,Mechi Customs Office
MCH02,"Mechi Customs Office, Gate"
MCH03,"Mechi Customs Office, Choti"
MHP01,Maheshpur Customs Office
MHP02,"Maheshpur Customs Office, Gate"
MST01,"Mustang Customs Office, Mustang"
MST02,"Mustang Customs Office, Gate"
NPJ01,Nepalgunj Customs Office
NPJ02,"Nepalgunj Customs Office, Gate"
NPJ03,"Nepalgunj Customs Office, ICP"
NPJ04,"Nepalgunj Customs Office, ICP-Gate"
PKR01,Pokhara Airport Customs Office
PKR02,PKR Customs Passenger
PSP02,"Pashupatinagar Customs Office, Gate"
RJB01,Rajbiraj Customs Office
RJB02,"Rajbiraj Customs Office, Gate"
RSW01,Rasuwa Customs Office
RSW02,"Rasuwa Customs Office, Gate"
SAR01,Sarlahi Customs Office
SAR02,"Sarlahi Customs Office,Gate Section"
SAT01,Sati Customs Office
SAT02,SATI Customs gate section
SIR01,Siraha Customs Office
SIR02,"Siraha Customs Office, Gate"
STL01,Suthauli Customs Office
STL02,"Suthauli Customs Office, Gate"
SUN01,Sunsari Customs Office
SUN02,"Sunsari Customs Office,Gate"
TAT01,Tatopani Customs Office
TAT02,"TatopaniCustoms Office,GATE"
THD01,Thadhi Customs Office
THD02,"Thadi Customs Office, Gate"
TIA00,TIA Customs Office
TIA01,Foreign Post Customs Office
TIA04,TIA Customs Counter Office
TVN02,"Triveni Customs Office, Gate"
YNK01,Yarinaka Customs Office
