Code,Description,
000,General Procedure,0
100,Full Duty Exemption - Diplomatic Agencies,
101,1% ID only - Diplomatic Agencies,
102,1% ID & Other Duty - Diplomatic Agencies,
103,Full Duty Exemption for Personal - Diplomatic Agencies,
104,Full Duty Exemption - UN Agencies,
105,1% ID only - UN Agencies,
106,1% ID & Other Duty - UN Agencies,
107,Full Duty Exemption for Personal - UN Agencies,
108,Full Duty Exemption - Foreign Aid Project,
109,1% ID only - Foreign Aid Project,
110,1% ID & Other Duty - Foreign Aid Project,
111,Full Duty Exemption for Personal - Foreign Aid Project,
121,Duty Charge for Buyer rejected goods,
122,Duty Charge for Personal Effect (Non Dutiable),
123,Duty Rebate for Retire Army,
124,Defective Machinery Parts etc,
125,Goods for Fair and Exhibitions,
126,Duty Charged for Contractor's Equipment,
127,Duty Collection From Lilam,
128,Duty Collection From Beruju (Ma.Le.Pa.),
129,Duty Collection From Beruju (Aa.Le.Pa),
130,Duty Collection From P.C.A.,
131,Duty Collection From Patake Import CSF + VAT,
132,Duty Collection From Other Provision,
135,Export Duty Collection - Sadarshya,
136,"ID, AID Charged from Not Exported Goods",
150,Full Duty Exemption for Disaster Items,
151,Full Duty Exemption for Transit Import or Export,
152,Temporary Import of Tractor without Trailer,
153,Temporary Import of Tractor with Trailer or Trailer Only,
154,Temporary Import Under Carnet,
155,Temporary Import of Bus & Mini-Bus,
156,"Temporary Import of Car, Jeep & Van",
157,Temporary Import of Motorbike & Scooter,
158,Temporary Import of Three Wheeler,
159,Temporary Import of Goods Vehicle VZ & East,
160,Temporary Import of Bike & Vehicle More Than 30 Days,
161,Temporary Import of Crane,
162,Temporary Imported Duty Exemption for Vehicles in Accident,
163,60% ID Rebate for vehicles and Machinery under duty rebate,
180,Dafa 18 Government Decision - I0E0V0,
181,Dafa 18 Government Decision - I1E0V0,
182,Dafa 18 Government Decision - I0EV0,
183,Dafa 18 Government Decision - I1EV,
184,Dafa 18 Government Decision - I1EV0,
185,Dafa 18 Government Decision - I1E0V,
186,Dafa 18 Government Decision - I5EV,
